1 34 32 0.04109003241106719273s
10 310 281 0.40784778418972333913s
100 2800 2473 0.43812036679841898090s
1000 24000 21233 0.39347300513833993740s
10000 210000 179726 0.36748120039525689062s
100000 1800000 1465196 0.41943227035573121819s
1000000 14000000 11279002 0.84656179604743087008s
10000000 110000000 80092861 3.74480862529644253911s
100000000 800000000 480211522 22.97722891660079014287s
